Team,Conference,G,RBI,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO
Saint Joseph's,Atlantic 10,38,123,"1,013",141,246,39,4,335,14,2,136,18,5,14,193,44,9,2,,54,8,,329,221
Saint Louis,Atlantic 10,41,153,"1,034",169,261,59,11,408,22,1,129,23,9,23,240,57,10,2,,46,10,,252,284
Saint Mary's (CA),WCC,39,96,977,115,228,31,12,301,6,,66,28,9,25,175,51,14,4,,21,10,,273,296
Saint Peter's,MAAC,41,137,"1,068",160,264,45,5,361,14,,58,26,9,22,184,33,11,3,,45,11,,287,310
Sam Houston,WAC,45,144,"1,179",164,265,46,5,411,30,,130,41,12,19,234,51,14,8,,37,9,,386,287
Samford,SoCon,41,148,"1,117",171,304,45,5,425,22,,116,8,7,24,137,44,10,5,,43,8,,351,315
San Diego,WCC,48,141,"1,252",160,304,47,6,417,18,,113,27,6,21,246,77,9,2,,23,7,,371,318
San Diego St.,Mountain West,42,189,"1,160",209,340,47,11,493,28,8,118,27,8,22,187,51,12,4,,65,17,,343,284
San Jose St.,Mountain West,43,164,"1,164",186,322,56,11,496,32,3,139,19,4,21,229,47,17,11,,17,5,,341,265
Santa Clara,WCC,41,145,"1,060",159,289,52,8,375,6,,81,30,11,36,188,50,14,6,,46,6,,318,275
Seattle U,WAC,44,168,"1,179",181,314,45,8,453,26,3,105,26,7,11,196,63,10,9,,23,10,,378,268
Seton Hall,Big East,37,158,"1,019",185,295,68,7,464,29,1,94,22,9,7,216,44,12,5,,34,5,,228,263
SFA,WAC,39,153,"1,005",167,267,53,6,431,33,2,130,27,10,28,192,53,14,8,,11,4,,279,273
Siena,MAAC,39,155,"1,090",174,297,54,6,408,15,2,101,23,14,23,163,47,11,,,17,5,,328,296
SIUE,OVC,43,136,"1,132",154,295,52,2,447,32,1,91,15,7,13,212,51,16,6,,24,3,,300,305
South Alabama,Sun Belt,37,123,933,138,234,29,9,362,27,4,103,9,9,18,211,54,12,7,,37,11,,253,234
South Carolina,SEC,49,238,"1,283",262,360,60,11,547,35,2,167,45,13,12,266,60,22,18,,62,12,,375,279
South Carolina St.,MEAC,37,68,843,81,175,14,6,231,10,,76,24,1,14,195,48,8,,,36,9,,247,212
South Dakota,Summit League,43,196,"1,170",222,329,54,6,482,29,1,120,15,5,8,253,62,8,5,,30,6,,313,247
South Dakota St.,Summit League,41,240,"1,176",260,352,62,4,590,56,,138,20,12,7,205,67,9,4,,16,6,,259,333
